Ticker,ISIN,LONG_COMP_NAME,CRNCY,PX_LAST
BBOX LN Equity,GB00BG49KP99,Tritax Big Box REIT PLC,GBp,228.2
WDP BB Equity,BE0974349814,Warehouses De Pauw CVA,EUR,34.76
STB NO Equity,NO0003053605,Storebrand ASA,NOK,99.3
MKS LN Equity,GB0031274896,Marks & Spencer Group PLC,GBp,194.25
PZU PW Equity,PLPZU0000011,Powszechny Zaklad Ubezpieczen SA,PLN,36.69
RMG LN Equity,GB00BDVZYZ77,Royal Mail PLC,GBp,443.2
AMP IM Equity,IT0004056880,Amplifon SpA,EUR,35.04
LIFCOB SS Equity,SE0015949201,Lifco AB,SEK,205.1
BAMI IM Equity,IT0005218380,Banco BPM SpA,EUR,2.97
G24 GR Equity,DE000A12DM80,Scout24 SE,EUR,52.6
INDUA SS Equity,SE0000190126,Industrivarden AB,SEK,284
LXS GR Equity,DE0005470405,LANXESS AG,EUR,53.68
BOL FP Equity,FR0000039299,Bollore SA,EUR,4.888
VALMT FH Equity,FI4000074984,Valmet Oyj,EUR,32.65
GRF SM Equity,ES0171996087,Grifols SA,EUR,14.97
EDPR PL Equity,ES0127797019,EDP Renovaveis SA,EUR,17.82
DLG LN Equity,GB00BY9D0Y18,Direct Line Insurance Group PLC,GBp,308
BWY LN Equity,GB0000904986,Bellway PLC,GBp,2897
IP IM Equity,IT0001078911,Interpump Group SpA,EUR,51.2
POLY LN Equity,JE00B6T5S470,Polymetal International PLC,GBp,1080.5
ENG SM Equity,ES0130960018,Enagas SA,EUR,18.795
SK FP Equity,FR0000121709,SEB SA,EUR,132.3
CLN SW Equity,CH0012142631,Clariant AG,CHF,19.685
THULE SS Equity,SE0006422390,Thule Group AB,SEK,424.6
KGH PW Equity,PLKGHM000017,KGHM Polska Miedz SA,PLN,143.4
RBREW DC Equity,DK0060634707,Royal Unibrew A/S,DKK,742.6
TIT IM Equity,IT0003497168,Telecom Italia SpA/Milano,EUR,0.415
ADDTB SS Equity,SE0014781795,AddTech AB,SEK,166
JMAT LN Equity,GB00BZ4BQC70,Johnson Matthey PLC,GBp,1751.5
ATE FP Equity,FR0000071946,Alten SA,EUR,143.3
BC8 GR Equity,DE0005158703,Bechtle AG,EUR,50.8
HOLMB SS Equity,SE0011090018,Holmen AB,SEK,467.1
LATOB SS Equity,SE0010100958,Investment AB Latour,SEK,277
LHA GR Equity,DE0008232125,Deutsche Lufthansa AG,EUR,7.288
IGG LN Equity,GB00B06QFB75,IG Group Holdings PLC,GBp,773
AVV LN Equity,GB00BBG9VN75,AVEVA Group PLC,GBp,2819
DPLM LN Equity,GB0001826634,Diploma PLC,GBp,2726
EVT GR Equity,DE0005664809,Evotec SE,EUR,30.18
AMUN FP Equity,FR0004125920,Amundi SA,EUR,67.55
EDF FP Equity,FR0010242511,Electricite de France SA,EUR,8.24
HSX LN Equity,BMG4593F1389,Hiscox Ltd,GBp,980
ELUXB SS Equity,SE0016589188,Electrolux AB,SEK,183.5
NOD NO Equity,NO0003055501,Nordic Semiconductor ASA,NOK,231.4
GJF NO Equity,NO0010582521,Gjensidige Forsikring ASA,NOK,215.5
RHM GR Equity,DE0007030009,Rheinmetall AG,EUR,93.84
HIK LN Equity,GB00B0LCW083,Hikma Pharmaceuticals PLC,GBp,2010
TATE LN Equity,GB0008754136,Tate & Lyle PLC,GBp,709.8
DLN LN Equity,GB0002652740,Derwent London PLC,GBp,3220
FDJ FP Equity,FR0013451333,La Francaise des Jeux SAEM,EUR,35.86
RCO FP Equity,FR0000130395,Remy Cointreau SA,EUR,182.1
INCH LN Equity,GB00B61TVQ02,Inchcape PLC,GBp,838
KOJAMO FH Equity,FI4000312251,Kojamo Oyj,EUR,20.18
ONT LN Equity,GB00BP6S8Z30,Oxford Nanopore Technologies PLC,GBp,506
FABG SS Equity,SE0011166974,Fabege AB,SEK,139.15
TPK LN Equity,GB00BK9RKT01,Travis Perkins PLC,GBp,1435
TYRES FH Equity,FI0009005318,Nokian Renkaat Oyj,EUR,28.28
UTG LN Equity,GB0006928617,UNITE Group PLC/The,GBp,999.2
ACKB BB Equity,BE0003764785,Ackermans & van Haaren NV,EUR,171.1
EVD GR Equity,DE0005470306,CTS Eventim AG & Co KGaA,EUR,64.48
HELN SW Equity,CH0466642201,Helvetia Holding AG,CHF,119.3
FUTR LN Equity,GB00BYZN9041,Future PLC,GBp,2864
SGRE SM Equity,ES0143416115,Siemens Gamesa Renewable Energy SA,EUR,16.255
ELI BB Equity,BE0003822393,Elia Group SA/NV,EUR,113.3
BG AV Equity,AT0000BAWAG2,BAWAG Group AG,EUR,55.25
AMS SW Equity,AT0000A18XM4,ams-OSRAM AG,CHF,16.55
RAA GR Equity,DE0007010803,Rational AG,EUR,712.6
DEMANT DC Equity,DK0060738599,Demant A/S,DKK,263.7
BKT SM Equity,ES0113679I37,Bankinter SA,EUR,5.856
ORNBV FH Equity,FI0009014377,Orion Oyj,EUR,35.25
AED BB Equity,BE0003851681,Aedifica SA,EUR,93.7
UN01 GR Equity,DE000UNSE018,Uniper SE,EUR,39.97
SDF GR Equity,DE000KSAG888,K+S AG,EUR,19.22
ANA SM Equity,ES0125220311,Acciona SA,EUR,145.1
SECUB SS Equity,SE0000163594,Securitas AB,SEK,115.15
TKA GR Equity,DE0007500001,thyssenkrupp AG,EUR,9.082
RBI AV Equity,AT0000606306,Raiffeisen Bank International AG,EUR,27.06
BEZ LN Equity,GB00BYQ0JC66,Beazley PLC,GBp,486.1
WIE AV Equity,AT0000831706,Wienerberger AG,EUR,30.74
SOI FP Equity,FR0013227113,SOITEC,EUR,150.3
UTDI GR Equity,DE0005089031,United Internet AG,EUR,35.14
LPP PW Equity,PLLPP0000011,LPP SA,PLN,15990
VOLCARB SS Equity,SE0016844831,Volvo Car AB,SEK,68.8
WOSG LN Equity,GB00BJDQQ870,Watches of Switzerland Group PLC,GBp,1228
ADP FP Equity,FR0010340141,Aeroports de Paris,EUR,126.85
ATO FP Equity,FR0000051732,Atos SE,EUR,32.07
ROR LN Equity,GB00BVFNZH21,Rotork PLC,GBp,330.8
PNN LN Equity,GB00BNNTLN49,Pennon Group PLC,GBp,1034
SALM NO Equity,NO0010310956,Salmar ASA,NOK,638.8
DIE BB Equity,BE0974259880,D'ieteren Group,EUR,146.4
CTEC LN Equity,GB00BD3VFW73,ConvaTec Group PLC,GBp,178.25
RILBA DC Equity,DK0060854669,Ringkjoebing Landbobank A/S,DKK,856
SOBI SS Equity,SE0000872095,Swedish Orphan Biovitrum AB,SEK,186.5
COV FP Equity,FR0000064578,Covivio,EUR,71.74
ANDR AV Equity,AT0000730007,ANDRITZ AG,EUR,47.62
BEIJB SS Equity,SE0015949748,Beijer Ref AB,SEK,143
EKTAB SS Equity,SE0000163628,Elekta AB,SEK,95.24
DIA IM Equity,IT0003492391,DiaSorin SpA,EUR,123.8
RF FP Equity,FR0000121121,Eurazeo SE,EUR,69.75
IPN FP Equity,FR0010259150,Ipsen SA,EUR,89.52
VOE AV Equity,AT0000937503,voestalpine AG,EUR,30.26
LUNDB SS Equity,SE0000108847,L E Lundbergforetagen AB,SEK,464.4
TEG GR Equity,DE0008303504,TAG Immobilien AG,EUR,22.02
HUH1V FH Equity,FI0009000459,Huhtamaki Oyj,EUR,33.91
SIM DC Equity,DK0060495240,SimCorp A/S,DKK,587.8
GRG LN Equity,GB00B63QSB39,Greggs PLC,GBp,2671
DUFN SW Equity,CH0023405456,Dufry AG,CHF,47.53
AMBUB DC Equity,DK0060946788,Ambu A/S,DKK,122.55
BAKKA NO Equity,FO0000000179,Bakkafrost P/F,NOK,639.8
EMG LN Equity,JE00BJ1DLW90,Man Group PLC/Jersey,GBp,197.3
FNTN GR Equity,DE000A0Z2ZZ5,Freenet AG,EUR,24.8
TUI LN Equity,DE000TUAG000,TUI AG,GBp,253.6
DNP PW Equity,PLDINPL00011,Dino Polska SA,PLN,304.8
EVR LN Equity,GB00B71N6K86,Evraz PLC,GBp,465
AKRBP NO Equity,NO0010345853,Aker BP ASA,NOK,282.6
BYG LN Equity,GB0002869419,Big Yellow Group PLC,GBp,1443
AZA SS Equity,SE0012454072,Avanza Bank Holding AB,SEK,290.3
CNP FP Equity,FR0000120222,CNP Assurances,EUR,21.82
FHZN SW Equity,CH0319416936,Flughafen Zurich AG,CHF,173.7
REY IM Equity,IT0005282865,Reply SpA,EUR,136.1
SAFE LN Equity,GB00B1N7Z094,Safestore Holdings PLC,GBp,1248
GAW LN Equity,GB0003718474,Games Workshop Group PLC,GBp,8015
CDI FP Equity,FR0000130403,Christian Dior SE,EUR,668
GALE SW Equity,CH0360674466,Galenica AG,CHF,63.95
BANB SW Equity,CH0012530207,Bachem Holding AG,CHF,522
MRL SM Equity,ES0105025003,Merlin Properties Socimi SA,EUR,9.758
WISE LN Equity,GB00BL9YR756,Wise PLC,GBp,569.8
COFB BB Equity,BE0003593044,Cofinimmo SA,EUR,113.7
GFTU LN Equity,IE00B00MZ448,Grafton Group PLC,GBp,1119
PSM GR Equity,DE000PSM7770,ProSiebenSat.1 Media SE,EUR,13.75
VMUK LN Equity,GB00BD6GN030,Virgin Money UK PLC,GBp,203.7
SFZN SW Equity,CH0014284498,Siegfried Holding AG,CHF,707
AAK SS Equity,SE0011337708,AAK AB,SEK,174.8
INW IM Equity,IT0005090300,Infrastrutture Wireless Italiane SpA,EUR,8.874
JDEP NA Equity,NL0014332678,JDE Peet's NV,EUR,26.355
BVIC LN Equity,GB00B0N8QD54,Britvic PLC,GBp,912.5
ARCAD NA Equity,NL0006237562,Arcadis NV,EUR,38.32
ALE PW Equity,LU2237380790,Allegro.eu SA,PLN,33.575
WALLB SS Equity,SE0007074844,Wallenstam AB,SEK,145.2
HAS LN Equity,GB0004161021,Hays PLC,GBp,145.7
SPIE FP Equity,FR0012757854,SPIE SA,EUR,20.84
WIZZ LN Equity,JE00BN574F90,Wizz Air Holdings Plc,GBp,4284
ELIS FP Equity,FR0012435121,Elis SA,EUR,16.14
PROX BB Equity,BE0003810273,Proximus SADP,EUR,18.105
ROCKB DC Equity,DK0010219153,ROCKWOOL International A/S,DKK,2300
SFOR LN Equity,GB00BFZZM640,S4 Capital PLC,GBp,521
RUI FP Equity,FR0013269123,Rubis SCA,EUR,28.69
DOM SS Equity,SE0007691613,Dometic Group AB,SEK,97.14
GNS LN Equity,GB0002074580,Genus PLC,GBp,3544
VTY LN Equity,GB0001859296,Vistry Group PLC,GBp,1056
LMP LN Equity,GB00B4WFW713,LondonMetric Property PLC,GBp,259.4
HPOLB SS Equity,SE0007074281,Hexpol AB,SEK,108.15
ISS DC Equity,DK0060542181,ISS A/S,DKK,129.4
BPT LN Equity,GB00BND88V85,Bridgepoint Group PLC,GBp,356.5
HER IM Equity,IT0001250932,Hera SpA,EUR,3.403
IG IM Equity,IT0005211237,Italgas SpA,EUR,5.504
SESG FP Equity,LU0088087324,SES SA,EUR,7.156
ALLN SW Equity,CH0008837566,Allreal Holding AG,CHF,193.8
HSV LN Equity,GB00BYYTFB60,HomeServe PLC,GBp,775.5
FPE3 GR Equity,DE000A3E5D64,FUCHS PETROLUB SE,EUR,38
FDR SM Equity,ES0137650018,Fluidra SA,EUR,26.15
CDR PW Equity,PLOPTTC00011,CD Projekt SA,PLN,176.86
FTI US Equity,GB00BDSFG982,TechnipFMC PLC,USD,6.59
MF FP Equity,FR0000121204,Wendel SE,EUR,93.4
INRN SW Equity,CH0006372897,Interroll Holding AG,CHF,3675
QLT LN Equity,GB00BDCXV269,Quilter PLC,GBp,141.15
BUCN SW Equity,CH0002432174,Bucher Industries AG,CHF,407
LDO IM Equity,IT0003856405,Leonardo SpA,EUR,6.208
A2A IM Equity,IT0001233417,A2A SpA,EUR,1.5755
NETC DC Equity,DK0060952919,Netcompany Group A/S,DKK,422.6
BILL SS Equity,SE0000862997,BillerudKorsnas AB,SEK,145
ALKB DC Equity,DK0060027142,ALK-Abello A/S,DKK,2638
ADE NO Equity,NO0010844038,Adevinta ASA,NOK,90.52
SWECB SS Equity,SE0014960373,Sweco AB,SEK,124.7
IWG LN Equity,JE00BYVQYS01,IWG PLC,GBp,275.8
NENTB SS Equity,SE0012116390,Nordic Entertainment Group AB,SEK,364.4
GLB ID Equity,IE0000669501,Glanbia PLC,EUR,12.24
WIHL SS Equity,SE0011205194,Wihlborgs Fastigheter AB,SEK,183.6
SOP FP Equity,FR0000050809,Sopra Steria Group SACA,EUR,153.1
AUTO NO Equity,BMG0670A1099,AutoStore Holdings Ltd,NOK,24.755
TIGO SS Equity,SE0001174970,Millicom International Cellular SA,SEK,252.4
CBG LN Equity,GB0007668071,Close Brothers Group PLC,GBp,1315
SCT LN Equity,GB00BYZDVK82,Softcat PLC,GBp,1585
VITR SS Equity,SE0011205202,Vitrolife AB,SEK,371.2
KINDSDB SS Equity,SE0007871645,Kindred Group PLC,SEK,106.45
ALIFB SS Equity,SE0014401378,AddLife AB,SEK,209.2
GXI GR Equity,DE000A0LD6E6,Gerresheimer AG,EUR,77.4
MIPS SS Equity,SE0009216278,MIPS AB,SEK,853
PHP LN Equity,GB00BYRJ5J14,Primary Health Properties PLC,GBp,134.4
SCHA NO Equity,NO0003028904,Schibsted ASA,NOK,260.5
VCT LN Equity,GB0009292243,Victrex PLC,GBp,1990
SECTB SS Equity,SE0016278196,Sectra AB,SEK,146.4
ROO LN Equity,GB00BNC5T391,Deliveroo PLC,GBp,149.35
COL SM Equity,ES0139140174,Inmobiliaria Colonial Socimi SA,EUR,7.315
DOCS LN Equity,GB00BL6NGV24,Dr. Martens Plc,GBp,279
CSP LN Equity,GB00BYPHNG03,Countryside Partnerships PLC,GBp,307.8
QTCOM FH Equity,FI4000198031,QT Group Oyj,EUR,95.1
INPST NA Equity,LU2290522684,InPost SA,EUR,6.472
ORP FP Equity,FR0000184798,Orpea SA,EUR,34.87
IVG IM Equity,NL0015000LU4,Iveco Group NV,EUR,8.36
AFRY SS Equity,SE0005999836,AFRY AB,SEK,192.7
COLR BB Equity,BE0974256852,Etablissements Franz Colruyt NV,EUR,35.47
ROSE SW Equity,CH0042615283,Zur Rose Group AG,CHF,193.2
AG1 GR Equity,DE000A2LQ884,Auto1 Group SE,EUR,14.225
AOX GR Equity,DE000A0LD2U1,alstria office REIT-AG,EUR,18.9
